epoch,dice_loss:,bce_loss:,acc:,lr:
0,0.8276,0.2206,0.3183,0.02
1,0.393,0.1383,0.6565,0.01999877
2,0.3182,0.1288,0.7076,0.01999507
3,0.2549,0.0905,0.754,0.0199889
4,0.234,0.0833,0.7704,0.01998027
5,0.2212,0.0752,0.7805,0.01996917
6,0.2046,0.0675,0.7944,0.01995562
7,0.1986,0.0643,0.7995,0.01993961
8,0.1945,0.0631,0.8027,0.01992115
9,0.1895,0.0612,0.8078,0.01990024
10,0.1872,0.0598,0.8094,0.01987688
11,0.1813,0.0574,0.8146,0.01985109
12,0.1779,0.0561,0.8175,0.01982287
13,0.1773,0.0562,0.8185,0.01979223
14,0.1734,0.0546,0.8217,0.01975917
15,0.1826,0.0604,0.8145,0.0197237
16,0.1809,0.0588,0.8157,0.01968583
17,0.1765,0.0571,0.8197,0.01964557
18,0.1696,0.0528,0.8255,0.01960294
19,0.1668,0.0518,0.8278,0.01955793
20,0.1662,0.0512,0.8282,0.01951057
21,0.1636,0.0504,0.8307,0.01946085
22,0.1626,0.05,0.8316,0.01940881
23,0.1627,0.0497,0.8312,0.01935444
24,0.1625,0.0497,0.8314,0.01929776
25,0.161,0.0492,0.8329,0.0192388
26,0.1597,0.0484,0.8341,0.01917755
27,0.1585,0.0483,0.8352,0.01911403
28,0.1599,0.0486,0.8339,0.01904827
29,0.1591,0.0481,0.8345,0.01898028
30,0.1576,0.0479,0.8361,0.01891007
31,0.1577,0.0479,0.8358,0.01883766
32,0.1567,0.0471,0.8368,0.01876307
33,0.1571,0.0474,0.8361,0.01868632
34,0.1559,0.0466,0.8373,0.01860742
35,0.1562,0.0468,0.8369,0.0185264
36,0.155,0.0467,0.8382,0.01844328
37,0.1545,0.0464,0.8387,0.01835807
38,0.1558,0.0464,0.8373,0.01827081
39,0.1549,0.0471,0.8386,0.0181815
40,0.1526,0.0457,0.8406,0.01809017
41,0.1536,0.046,0.8394,0.01799685
42,0.1534,0.0459,0.8397,0.01790155
43,0.1528,0.0454,0.8402,0.0178043
44,0.1522,0.0453,0.8406,0.01770513
45,0.1515,0.0452,0.8414,0.01760406
46,0.1515,0.0451,0.8415,0.01750111
47,0.1513,0.0447,0.8416,0.01739631
48,0.1512,0.045,0.8417,0.01728969
49,0.1505,0.0447,0.8424,0.01718126
50,0.1511,0.0448,0.8419,0.01707107
51,0.15,0.0445,0.8427,0.01695913
52,0.149,0.0442,0.8439,0.01684547
53,0.1494,0.0441,0.8434,0.01673013
54,0.1493,0.0442,0.8432,0.01661312
55,0.1492,0.0441,0.8436,0.01649448
56,0.1492,0.044,0.8435,0.01637424
57,0.1481,0.0437,0.8448,0.01625243
58,0.1485,0.0441,0.8443,0.01612907
59,0.1487,0.0438,0.8439,0.0160042
60,0.1476,0.0436,0.8453,0.01587785
61,0.1474,0.0433,0.8451,0.01575005
62,0.1471,0.0436,0.8455,0.01562083
63,0.1469,0.0432,0.8458,0.01549023
64,0.1472,0.0433,0.8453,0.01535827
65,0.1457,0.043,0.847,0.01522499
66,0.1472,0.0431,0.8452,0.01509041
67,0.1462,0.0429,0.8463,0.01495459
68,0.146,0.043,0.8465,0.01481754
69,0.1452,0.0428,0.8475,0.0146793
70,0.146,0.0428,0.8466,0.0145399
71,0.1452,0.0427,0.8475,0.01439939
72,0.1458,0.0428,0.8468,0.01425779
73,0.1455,0.0425,0.8469,0.01411514
74,0.1463,0.0431,0.8465,0.01397148
75,0.1449,0.0425,0.8475,0.01382683
76,0.1447,0.0423,0.8479,0.01368125
77,0.1455,0.0426,0.8472,0.01353475
78,0.1451,0.0424,0.8472,0.01338738
79,0.1431,0.0417,0.8494,0.01323917
80,0.1448,0.0424,0.8477,0.01309017
81,0.1441,0.0421,0.8485,0.0129404
82,0.1436,0.0421,0.8489,0.01278991
83,0.1431,0.0419,0.8494,0.01263873
84,0.1437,0.0418,0.8485,0.0124869
85,0.1428,0.0417,0.8496,0.01233445
86,0.144,0.0419,0.8484,0.01218143
87,0.1428,0.0416,0.8496,0.01202787
88,0.1424,0.0416,0.8499,0.01187381
89,0.1428,0.0415,0.8495,0.01171929
90,0.1421,0.0414,0.8501,0.01156434
91,0.1422,0.0413,0.8503,0.01140901
92,0.1423,0.0412,0.8499,0.01125333
93,0.1421,0.0414,0.8503,0.01109734
94,0.1406,0.041,0.8518,0.01094108
95,0.142,0.0412,0.8502,0.01078459
96,0.1407,0.0409,0.8517,0.01062791
97,0.1419,0.0411,0.8503,0.01047106
98,0.1409,0.041,0.8513,0.01031411
99,0.1404,0.0407,0.8519,0.01015707
100,0.141,0.0408,0.8511,0.01
101,0.1396,0.0405,0.8527,0.00984293
102,0.1403,0.0409,0.852,0.00968589
103,0.1401,0.0406,0.8521,0.00952894
104,0.14,0.0406,0.8523,0.00937209
105,0.1396,0.0403,0.8526,0.00921541
106,0.1394,0.0406,0.853,0.00905892
107,0.1393,0.0403,0.8529,0.00890266
108,0.1397,0.0403,0.8524,0.00874667
109,0.1385,0.0401,0.854,0.00859099
110,0.1392,0.0402,0.8531,0.00843566
111,0.1378,0.04,0.8547,0.00828071
112,0.139,0.0401,0.8531,0.00812619
113,0.1388,0.0401,0.8533,0.00797213
114,0.1386,0.04,0.8536,0.00781857
115,0.1392,0.0399,0.8529,0.00766555
116,0.1374,0.0397,0.8547,0.0075131
117,0.1379,0.0398,0.8544,0.00736127
118,0.1375,0.0397,0.8546,0.00721009
119,0.1362,0.0394,0.8559,0.0070596
120,0.1369,0.0395,0.8552,0.00690983
121,0.1378,0.0397,0.8544,0.00676083
122,0.1361,0.0394,0.8561,0.00661262
123,0.1373,0.0395,0.8547,0.00646525
124,0.1376,0.0397,0.8545,0.00631875
125,0.1353,0.0392,0.8571,0.00617317
126,0.136,0.0394,0.8564,0.00602852
127,0.1353,0.0389,0.8568,0.00588486
128,0.1351,0.0391,0.857,0.00574221
129,0.1356,0.039,0.8566,0.00560061
130,0.1341,0.0386,0.858,0.0054601
131,0.1352,0.039,0.857,0.0053207
132,0.135,0.0391,0.8573,0.00518246
133,0.1344,0.0387,0.8577,0.00504541
134,0.1343,0.0387,0.8578,0.00490959
135,0.1342,0.0388,0.858,0.00477501
136,0.1342,0.0386,0.8577,0.00464173
137,0.134,0.0387,0.8581,0.00450977
138,0.1334,0.0385,0.8587,0.00437917
139,0.1335,0.0385,0.8586,0.00424995
140,0.1333,0.0383,0.8586,0.00412215
141,0.133,0.0384,0.8592,0.0039958
142,0.1334,0.0384,0.8587,0.00387093
143,0.1333,0.0383,0.8588,0.00374757
144,0.1323,0.0382,0.8597,0.00362576
145,0.1319,0.0381,0.8601,0.00350552
146,0.1331,0.0382,0.859,0.00338688
147,0.1324,0.0383,0.8596,0.00326987
148,0.1319,0.038,0.8602,0.00315453
149,0.131,0.0378,0.8613,0.00304087
150,0.1306,0.0379,0.8616,0.00292893
151,0.1306,0.0376,0.8616,0.00281874
152,0.1302,0.0376,0.8619,0.00271031
153,0.1308,0.0377,0.8612,0.00260369
154,0.1307,0.0377,0.8615,0.00249889
155,0.1303,0.0378,0.8618,0.00239594
156,0.1307,0.0375,0.8616,0.00229487
157,0.1302,0.0374,0.862,0.0021957
158,0.13,0.0375,0.862,0.00209845
159,0.1307,0.0377,0.8613,0.00200315
160,0.1305,0.0376,0.8618,0.00190983
161,0.1305,0.0375,0.8613,0.0018185
162,0.1301,0.0375,0.862,0.00172919
163,0.1301,0.0375,0.8618,0.00164193
164,0.129,0.0372,0.8632,0.00155672
165,0.1288,0.0372,0.8634,0.0014736
166,0.1295,0.0375,0.8626,0.00139258
167,0.1296,0.0372,0.8624,0.00131368
168,0.1286,0.0372,0.8637,0.00123693
169,0.1289,0.0371,0.8633,0.00116234
170,0.1288,0.0371,0.8633,0.00108993
171,0.1288,0.0372,0.8634,0.00101972
172,0.1283,0.0371,0.8639,0.00095173
173,0.129,0.0373,0.8632,0.00088597
174,0.128,0.037,0.8642,0.00082245
175,0.1285,0.0372,0.8637,0.0007612
176,0.1285,0.0371,0.8637,0.00070224
177,0.1283,0.0369,0.8639,0.00064556
178,0.1289,0.0372,0.8632,0.00059119
179,0.1281,0.0371,0.864,0.00053915
180,0.1273,0.0368,0.865,0.00048943
181,0.128,0.0368,0.8641,0.00044207
182,0.1282,0.0373,0.8639,0.00039706
183,0.128,0.0368,0.8644,0.00035443
184,0.1287,0.0373,0.8634,0.00031417
185,0.1277,0.037,0.8645,0.0002763
186,0.1277,0.0366,0.8644,0.00024083
187,0.1279,0.037,0.8643,0.00020777
188,0.1275,0.0369,0.8646,0.00017713
189,0.1286,0.0372,0.8636,0.00014891
190,0.1276,0.0369,0.8647,0.00012312
191,0.1282,0.0369,0.8638,0.00009976
192,0.1275,0.0367,0.8647,0.00007885
193,0.1281,0.0371,0.8641,0.00006039
194,0.1277,0.0369,0.8645,0.00004438
195,0.1283,0.037,0.8638,0.00003083
196,0.1281,0.037,0.8639,0.00001973
197,0.1286,0.0368,0.8637,0.0000111
198,0.1282,0.0372,0.8639,0.00000493
199,0.1272,0.0368,0.8651,0.00000123
,,,,
epoch,dice_loss:,bce_loss:,acc:,
0,0.879,0.2408,0.1673,
1,0.3019,0.1997,0.7151,
2,0.2572,0.1346,0.7524,
3,0.2504,0.0756,0.7586,
4,0.2675,0.0793,0.7644,
5,0.1951,0.1042,0.7925,
6,0.2009,0.0791,0.7936,
7,0.1915,0.0755,0.8049,
8,0.2156,0.0464,0.7927,
9,0.2389,0.0643,0.7776,
10,0.1793,0.0647,0.8172,
11,0.1893,0.0515,0.8129,
12,0.1817,0.052,0.818,
13,0.1748,0.0599,0.8201,
14,0.4095,0.0682,0.7214,
15,0.2923,0.1543,0.7652,
16,0.1738,0.0606,0.8213,
17,0.1926,0.0524,0.8134,
18,0.1691,0.0573,0.8258,
19,0.182,0.0507,0.8145,
20,0.1702,0.0529,0.8257,
21,0.1737,0.0533,0.8218,
22,0.1695,0.0499,0.8264,
23,0.1706,0.0536,0.8245,
24,0.1608,0.0662,0.8296,
25,0.1646,0.0523,0.8295,
26,0.1613,0.0548,0.8323,
27,0.1635,0.066,0.8243,
28,0.1703,0.0512,0.8267,
29,0.1676,0.0545,0.8283,
30,0.1851,0.0688,0.8177,
31,0.1682,0.0487,0.8275,
32,0.1578,0.0574,0.833,
33,0.1659,0.0481,0.8305,
34,0.1587,0.0523,0.8335,
35,0.1564,0.0556,0.8349,
36,0.1614,0.0522,0.8316,
37,0.1678,0.0441,0.8311,
38,0.1579,0.0539,0.8347,
39,0.1664,0.0463,0.8306,
40,0.1573,0.0518,0.835,
41,0.1617,0.0481,0.8341,
42,0.1655,0.0443,0.8331,
43,0.1534,0.0579,0.8365,
44,0.1585,0.0494,0.8355,
45,0.1574,0.0522,0.835,
46,0.1565,0.0499,0.8367,
47,0.1528,0.0565,0.8376,
48,0.1535,0.0534,0.8378,
49,0.1592,0.0485,0.8355,
50,0.1527,0.0541,0.8382,
51,0.1555,0.0514,0.8372,
52,0.1556,0.0487,0.8381,
53,0.1533,0.052,0.8385,
54,0.1578,0.0475,0.8369,
55,0.1576,0.0486,0.8367,
56,0.1522,0.054,0.8391,
57,0.1532,0.0513,0.8386,
58,0.1623,0.0458,0.8347,
59,0.1551,0.049,0.8386,
60,0.1545,0.0479,0.8393,
61,0.1509,0.0534,0.84,
62,0.1548,0.0479,0.8393,
63,0.1512,0.0537,0.8398,
64,0.1501,0.0549,0.8398,
65,0.1514,0.052,0.8401,
66,0.1518,0.0524,0.8395,
67,0.1502,0.0529,0.8407,
68,0.1501,0.0525,0.8411,
69,0.1507,0.0514,0.841,
70,0.1503,0.0553,0.8395,
71,0.1531,0.0501,0.8407,
72,0.1553,0.0514,0.8379,
73,0.1501,0.0525,0.8411,
74,0.1493,0.0528,0.8416,
75,0.1523,0.0496,0.8407,
76,0.1489,0.0527,0.8419,
77,0.1505,0.0524,0.8407,
78,0.154,0.0477,0.8402,
79,0.1459,0.0575,0.8423,
80,0.1498,0.0576,0.8381,
81,0.1519,0.0512,0.8401,
82,0.1507,0.0535,0.8394,
83,0.1522,0.052,0.8393,
84,0.1487,0.053,0.8417,
85,0.1504,0.0512,0.8406,
86,0.1522,0.0482,0.8407,
87,0.1474,0.0547,0.842,
88,0.1535,0.0492,0.8393,
89,0.1468,0.056,0.8421,
90,0.1499,0.051,0.8414,
91,0.1486,0.0555,0.8412,
92,0.1513,0.0493,0.8412,
93,0.1467,0.0558,0.8426,
94,0.1477,0.0536,0.8421,
95,0.149,0.0533,0.8411,
96,0.1499,0.0514,0.8414,
97,0.1528,0.0491,0.8403,
98,0.1482,0.0532,0.8422,
99,0.1465,0.0565,0.8419,
100,0.1469,0.0553,0.8421,
101,0.1461,0.0564,0.8423,
102,0.1489,0.0525,0.8418,
103,0.1491,0.0522,0.8417,
104,0.1468,0.0561,0.8421,
105,0.149,0.053,0.8414,
106,0.1476,0.0546,0.8419,
107,0.1472,0.0557,0.8419,
108,0.1502,0.0521,0.8405,
109,0.1467,0.0559,0.842,
110,0.1475,0.0546,0.8415,
111,0.1489,0.0541,0.841,
112,0.1472,0.0563,0.8414,
113,0.1468,0.0573,0.8413,
114,0.1488,0.0549,0.8406,
115,0.1468,0.0571,0.8413,
116,0.1486,0.0543,0.8409,
117,0.1508,0.0531,0.8396,
118,0.1469,0.0571,0.8415,
119,0.144,0.0621,0.8423,
120,0.1475,0.0574,0.8408,
121,0.1461,0.0609,0.8412,
122,0.1483,0.0561,0.8408,
123,0.1473,0.0569,0.8413,
124,0.1493,0.0536,0.8409,
125,0.1459,0.0591,0.8416,
126,0.1462,0.0588,0.8417,
127,0.144,0.0641,0.8417,
128,0.146,0.0597,0.8413,
129,0.1452,0.0614,0.8415,
130,0.1434,0.065,0.8418,
131,0.1474,0.0586,0.8407,
132,0.1463,0.0611,0.8406,
133,0.1468,0.0606,0.8406,
134,0.146,0.0627,0.8406,
135,0.1476,0.0597,0.8401,
136,0.1456,0.0626,0.8409,
137,0.1475,0.0628,0.8392,
138,0.1482,0.0594,0.8397,
139,0.1463,0.063,0.8402,
140,0.1439,0.067,0.841,
141,0.1477,0.0604,0.8398,
142,0.1449,0.0661,0.8403,
143,0.1443,0.0672,0.8405,
144,0.1452,0.065,0.8406,
145,0.1443,0.0677,0.8405,
146,0.1439,0.0698,0.8402,
147,0.1461,0.0654,0.8398,
148,0.1471,0.0642,0.8394,
149,0.146,0.0665,0.8397,
150,0.145,0.0677,0.8402,
151,0.1455,0.0664,0.8401,
152,0.1467,0.0655,0.8395,
153,0.1442,0.0706,0.8401,
154,0.1433,0.0738,0.8398,
155,0.1471,0.065,0.8393,
156,0.1433,0.0718,0.8403,
157,0.145,0.0699,0.8394,
158,0.1454,0.0692,0.8395,
159,0.1467,0.067,0.8391,
160,0.147,0.0672,0.8389,
161,0.1438,0.072,0.84,
162,0.143,0.0737,0.8402,
163,0.1458,0.0709,0.8388,
164,0.1453,0.0712,0.8392,
165,0.1459,0.0703,0.8391,
166,0.1445,0.0722,0.8395,
167,0.1437,0.0741,0.8397,
168,0.1458,0.0711,0.8389,
169,0.1452,0.0723,0.8389,
170,0.1443,0.0741,0.8394,
171,0.1439,0.0747,0.8394,
172,0.1443,0.0733,0.8394,
173,0.1434,0.0757,0.8395,
174,0.1458,0.0713,0.8388,
175,0.1451,0.0731,0.839,
176,0.1449,0.0729,0.8392,
177,0.1442,0.0737,0.8394,
178,0.1442,0.0739,0.8394,
179,0.1445,0.0745,0.8391,
180,0.1439,0.0749,0.8395,
181,0.1443,0.0752,0.8391,
182,0.1453,0.0728,0.8389,
183,0.1445,0.0738,0.8392,
184,0.1457,0.0723,0.8387,
185,0.1441,0.0752,0.8392,
186,0.1443,0.0743,0.8392,
187,0.1452,0.0738,0.8389,
188,0.1446,0.075,0.839,
189,0.1454,0.0733,0.8388,
190,0.1458,0.0727,0.8386,
191,0.1432,0.0769,0.8396,
192,0.1437,0.0761,0.8393,
193,0.1448,0.0745,0.8389,
194,0.1426,0.0783,0.8396,
195,0.1442,0.0752,0.8393,
196,0.1447,0.0747,0.839,
197,0.1445,0.0749,0.8391,
198,0.145,0.0737,0.8391,
199,0.1442,0.0758,0.8391,